ID,Planting_Date,Harvest_Date,Sowing_Seeds_Number,Seeds_Per_Site,Plant_Density_20_days,Chemical_Treat_Disease,Chemical_Treat_Weeds,Chemical_Treat_Pests,Total_N,Total_P,Total_K,Number_Chemical_Ferti,pH,pH2,Efective_Depth,TM_Avg_VEG,TA_Avg_VEG,DR_Avg_VEG,SR_Accu_VEG,P_10_Freq_VEG,TA_Avg_CF,SR_Accu_CF,P_Accu_CF,RH_Avg_CF,SR_Accu_MAT,P_10_Freq_MAT,RH_Avg_MAT,Numero_de_tecnicos,Sowing_Method,Seeds_Treatment,Cultivar,Former_Crop,Field_Drainage,Harvest_Method,Cultivar_Type,Soil_Structure,Runoff,Soil_Texture,Organic_Matter_Content,Departemento,Yield
288,5/1/2013,9/12/2013,60000,2,58000,0,2,2,0.069,0,0,2,6,7.2,21,24.35,28.42929613,8.158592268,14966.77699,0.075,28.16827742,23929.41709,286.9,80.32758621,12926.68305,0.243243243,NA,1,NA,SI,FNC 3056,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA,Cordoba,4.5
289,5/1/2013,9/11/2013,60000,1.668965846,60000,0,2,2,0.092,0,0.03,2,6,7.2,19,24.12,28.30700436,8.374008715,14959.22979,0.1,28.02188023,24028.56989,243,80.17241379,11980.46452,0.222222222,82.41666667,1,Manual,NO,PIONEER 30F32,NA,SI,MECANIZADA,Hibrido,GRANULAR,NINGUNO,FrL,BAJA,Cordoba,6
290,5/10/2013,9/21/2013,60000,1,60000,0,0,1,0.046,0,0,1,6,7.2,67,NA,29.01146322,8.853923047,15152.962,0.113393088,29.24234128,22463.46537,267.4201055,80.08182882,13334.33594,0.110169698,81.2860888,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,GRANULAR,NINGUNO,FrL,MEDIA,Cordoba,5.3
291,5/20/2013,9/30/2013,60000,2,60000,0,0,1,0.046,0,0,1,6,7.2,15,24.3625,28.42142274,8.117845476,14804.75763,0.075,28.1508434,24163.0193,305.1,80.24137931,10350.67649,0.266666667,82.63333333,1,Manual,NO,Otro,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA,Cordoba,5.8
293,5/20/2013,9/24/2013,60000,2,60000,0,1,2,0.046,0,0,1,6,7.2,25,24.3775,28.42394143,8.092882853,14967.07944,0.1,28.05776127,23857.78671,295,80.29310345,15222.72066,0.204545455,82.15909091,1,Manual,NO,PIONEER 30F35,Yuca,SI,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA,Cordoba,5.5
294,5/13/2013,9/17/2013,65000,1,60000,0,3,2,0.092,0,0,2,6,7.2,15,23.8125,27.97506948,8.325138968,14092.52032,0.125,28.17537368,22575.08434,140,80.46551724,14333.48249,0,74.99694495,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,4
295,5/15/2013,10/3/2013,75000,1,68000,0,2,1,0.092,0,0,2,6,7.2,25,23.78,28.024563,8.489125998,14142.87117,0.125,28.19875399,22838.13814,102.8,79.79310345,12457.06605,0,74.49639941,1,Mecanizado,NO,FNC 114,Maiz,NO,Manual,Hibrido,MASIVA,NINGUNO,FrL,NA,Cordoba,4
536,9/26/2013,2/3/2014,65000,1,60000,0,2,1,0.092,0,0,2,6,7.2,20,23.78,28.024563,8.489125998,14142.87117,0.125,28.19875399,22838.13814,102.8,79.79310345,12457.06605,0,74.49639941,1,Mecanizado,SI,FNC 114,Maiz,SI,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,4
539,10/1/2013,2/3/2014,65000,2,63000,0,1,0,0.092,0,0.03,2,6.5,7.8,60,23.92,27.96274349,8.085486985,13566.83705,0.125,28.14980231,22634.00587,142,80.18965517,19197.85941,0,74.86134508,1,Manual,SI,PIONEER 30F35 H,Maiz,SI,Manual,Hibrido,MASIVA,NINGUNO,ArL,MEDIA,Cordoba,4
540,9/22/2013,2/10/2014,75000,1,68000,0,1,1,0.069,0,0,1,5,6,26,23.665,27.96903358,8.608067166,13642.26664,0.2,28.08860477,NA,229.1,81.82758621,19295.36439,0,78.0412866,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,ATERRONADA,LENTO,Ar,MEDIA,Cordoba,2.5
548,10/1/2013,1/30/2014,65000,1,60000,0,3,1,0.069,0,0,3,5.5,6.6,43,23.78,28.024563,NA,14142.87117,0.125,28.19875399,22838.13814,102.8,79.79310345,10574.79395,0,74.62079931,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,MASIVA,NINGUNO,ArA,MEDIA,Cordoba,4
549,8/25/2013,1/15/2014,75000,1,68000,0,1,1,0.069,0,0,1,5,6,0,23.665,27.96903358,8.608067166,13642.26664,0.2,28.08860477,20510.62279,229.1,81.82758621,19295.36439,0,78.0412866,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,MASIVA,LENTO,FrL,MEDIA,Cordoba,2.5
559,10/6/2013,2/10/2014,75000,1,68000,2,2,0,0.115,0,0,3,6.5,7.8,70,23.8475,28.13306404,8.571128089,13926.42874,0.125,28.11150742,23340.33257,97.3,79.13619282,13360.26898,0,73.73333333,1,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,5
560,9/14/2013,1/10/2014,67000,1,65000,0,1,0,0.121,0.003,0.03,2,6,7.2,25,23.97,27.97889529,8.017790574,13301.90065,0.125,28.22232054,21859.167,147.7,80.94827586,9094.800894,0,76.66186588,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,5.6
617,10/7/2013,2/10/2014,70000,1,68000,0,1,1,0.092,0,0.03,2,5,6,80,NA,28.19354729,8.692094581,13792.28282,0.125,28.08153797,23501.65238,97.3,78.9810204,12852.98557,0,73.79310345,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,ATERRONADA,LENTO,Ar,MEDIA,Cordoba,3.5
618,10/9/2013,3/10/2014,67000,1,60000,0,1,0,0.115,0,0,2,5.5,6.6,28,23.87,28.19328865,8.646577306,14052.32694,0.125,28.06503426,23593.01424,97.3,78.68791696,24523.87983,0,73.18235473,1,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,5
3277,10/17/2015,2/23/2016,70000,1,NA,1,3,0,0.138,0,0,3,5,6,45,24.52,28.19945618,7.358912364,14549.47379,0.15,28.98298398,22519.29722,313.7,78.29310345,9832.512003,NA,79.64,1,Mecanizado,NO,DK 234,Algodon,NO,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,3.5
766,5/10/2014,9/9/2014,65000,3,60000,1,1,3,0.092,0,0,4,4.5,5.4,50,24.6225,28.36887377,7.49274755,14710.6309,0.1,28.92717615,22090.72899,315.1,78.48275862,11880.76454,0.166666667,79.6,1,Manual,SI,Otro,Algodon,SI,Manual,Variedad,NA,NINGUNO,FrL,MEDIA,Cordoba,3.5
781,5/20/2014,9/25/2014,60000,2,57000,0,2,3,0.069,0,0,2,5.5,6.6,25,24.6775,28.4342812,7.513562409,14734.49617,0.175,28.86508684,22637.09302,343.1,78.48275862,8341.7944,0.260869565,82.08695652,1,Manual,NO,PIONEER 30F35 H,NA,NO,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,3.2
783,5/5/2014,9/7/2014,65000,1,62000,0,2,3,0.0828,0,0,2,6,7.2,25,24.5075,28.26187985,7.508759696,14772.67955,0.125,28.95919677,22134.36264,325,78.48275862,11689.29623,0.2,80.13333333,1,Mecanizado,NO,DK 234,Algodon,NO,Manual,Hibrido,MASIVA,NINGUNO,ArA,MEDIA,Cordoba,3.7
784,5/13/2014,9/17/2014,65000,3,60000,0,2,3,0.0575,0,0,2,5.5,6.6,30,24.645,28.39222754,7.494455071,14749.74716,0.2,28.86342918,22425.28988,306.8,78.62068966,11521.78001,0.225806452,81.12903226,1,Manual,NO,PIONEER 30F35,Algodon,NO,Manual,Hibrido,MASIVA,NINGUNO,ArL,MEDIA,Cordoba,3.8
788,5/17/2014,9/20/2014,65000,2,60000,0,1,3,0.069,0,0,2,5,6,45,24.695,28.43133872,7.472677443,14710.19704,0.1,28.91682088,22027.11303,315.1,78.5,11112.9375,0.178571429,79.57142857,1,Manual,NO,Otro,Algodon,SI,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,3
791,11/2/2013,3/13/2014,68000,1,64000,0,2,2,0.115,0,0,3,6,7.2,28,24.6275,28.29009114,7.325182277,14585.4696,0.15,28.95935247,22475.45219,333.3,78.55172414,11219.16941,0.2,80.6,1,Mecanizado,SI,DK7088,Algodon,NO,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,4
804,9/29/2013,1/20/2014,68000,1,64000,0,2,0,0.101,0.023,0,2,6.5,7.8,70,23.6825,27.91809017,8.471180344,13635.9102,0.2,28.12578406,20729.9854,221.6,81.70689655,26262.55601,0,76.94998683,1,Mecanizado,SI,DK 234,Maiz,SI,Mecanizada,Hibrido,ATERRONADA,LENTO,Ar,MEDIA,Cordoba,5
805,7/19/2013,12/20/2013,60000,1,57000,0,4,0,0.096670513,0.003935021,0.015497996,2.208438029,5.5,6.6,48,24.52,28.19945618,7.358912364,14549.47379,0.15,28.98298398,22519.29722,313.7,78.29310345,11704.46913,0.225806452,80.67741935,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,4
806,9/13/2013,1/14/2014,60000,3,58000,0,2,3,0.092,0,0,3,5,6,35,24.6225,28.30134453,7.357689064,14489.54082,0.2,28.91240362,22557.90263,297.4,78.51724138,10849.72324,0.206896552,80.51724138,1,Manual,SI,DK7088,Algodon,NO,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,3.2
814,5/19/2014,9/20/2014,67000,1,65000,0,3,2,0.1285,0.0345,0.03,2,5,6,35,24.25,28.16,7.82,14559.85101,0.1,28.60078092,26199.30886,6.4,79.63487939,14385.98017,0,77.73393045,1,Mecanizado,NA,NA,Algodon,SI,Mecanizada,Hibrido,MASIVA,LENTO,FrL,BAJA,Cordoba,6.7
816,3/26/2014,7/31/2014,70000,1,67000,0,2,2,0.101,0.023,0,2,5.5,6.6,23,23.985,28.02868576,8.087371515,13364.52387,0.125,28.19564135,22307.70915,145.7,80.37931034,9977.811417,0,76.47387754,1,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,7.2
817,5/6/2014,9/18/2014,65000,1,62000,0,2,3,0.1055,0.0345,0,2,5.5,6.6,70,23.835,28.04272248,8.415444966,13916.7535,0.125,28.20069851,23018.34151,112.8,80.10344828,6751.490547,0,75.24369897,1,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,6.8
818,5/10/2014,9/12/2014,62000,1,60000,0,3,2,0.101,0.023,0.03,2,5,6,32,23.585,27.89081144,NA,15874.54057,0.15,27.96443613,19462.94476,341.2,82.51724138,21507.31012,0.070175439,80.84210526,1,Mecanizado,NO,Otro,Pastos,SI,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,BAJA,Cordoba,6.5
820,5/20/2014,9/22/2014,66000,1,65000,0,3,0,0.115,0,0,2,5.5,6.6,40,23.9625,27.97652686,8.028053728,13294.61943,0.125,28.22183872,21763.41514,147.7,81.10344828,11479.02472,0,75.88073783,1,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,MEDIA,Cordoba,6.8
821,5/8/2014,9/12/2014,60000,1,58000,0,1,1,0.03,0.03,0.03,1,5.5,6.6,70,24.5,28.21859077,7.437181541,14647.31631,0.15,28.95363373,22326.28366,313.9,78.37931034,7286.295681,0.105263158,79.89473684,1,Mecanizado,SI,PIONEER 30F35,Algodon,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,6
823,5/5/2014,9/2/2014,68000,3,60000,0,2,3,0.115,0,0,3,6,7.2,0,24.57,28.29889179,7.457783575,14724.9289,0.125,28.95911721,22134.40086,291.8,78.48275862,12055.28993,0.225806452,80.19354839,1,Manual,SI,DK 234,Algodon,SI,Manual,Hibrido,MASIVA,NINGUNO,Ar,MEDIA,Cordoba,3.7
824,5/10/2014,9/25/2014,67000,2,66000,0,2,2,0.069,0,0,2,5,6,28,24.625,28.39037246,7.530744919,14736.66021,0.2,28.87712711,22494.87475,297.4,78.51724138,10096.25867,0.222222222,80.66666667,1,Manual,NO,PAC 105,NA,SI,Manual,Hibrido,ATERRONADA,LENTO,FAr,MEDIA,Cordoba,4
826,5/12/2014,9/15/2014,67000,1,65000,0,2,3,0.108,0.0115,0.015,2,5.5,6.6,29,24.8475,28.90051706,8.106034126,15960.43318,0.05,28.4295563,21144.48378,248.5,80.37931034,11718.1341,0.066666667,76.66666667,1,Mecanizado,SI,Otro,Algodon,SI,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,MEDIA,Cordoba,6.5
827,5/1/2014,9/28/2014,80000,1,75000,0,2,3,0.124,0.023,0,3,5,6,28,24.6225,28.36887377,7.49274755,14710.6309,0.1,28.92717615,22090.72899,315.1,78.48275862,14418.02993,0.210526316,80.63157895,1,Mecanizado,SI,DK7088,Algodon,SI,Manual,Hibrido,MASIVA,NINGUNO,Ar,MEDIA,Cordoba,4
829,5/4/2014,9/18/2014,62000,1,60000,0,2,2,0.069,0,0,2,5.5,6.6,25,24.52,28.19945618,7.358912364,14549.47379,0.15,28.98298398,22519.29722,313.7,78.29310345,10754.54616,0.214285714,80.28571429,1,Mecanizado,SI,PAC 105,Algodon,SI,Manual,Hibrido,MASIVA,NINGUNO,ArL,BAJA,Cordoba,4.5
830,5/5/2014,9/12/2014,67000,1,65000,0,2,2,0.1285,0.0345,0,2,5,6,30,24.645,28.39222754,7.494455071,14749.74716,0.2,28.86342918,22425.28988,306.8,78.62068966,10418.92898,0.214285714,80.71428571,1,Mecanizado,NO,PAC 105,Algodon,SI,Mecanizada,Hibrido,MASIVA,LENTO,Ar,BAJA,Cordoba,5.5
835,5/15/2014,9/29/2014,73000,1,62000,0,2,2,0.092,0,0,2,6,7.2,27,24.5075,28.26187985,7.508759696,14772.67955,0.125,28.95919677,22134.36264,325,78.48275862,11689.29623,0.2,80.13333333,1,Mecanizado,SI,DK 234,Algodon,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,3
838,5/10/2014,6/8/2014,72000,3,62000,0,2,3,0.115,0,0,3,5.5,6.6,0,24.695,28.43133872,7.472677443,14710.19704,0.1,28.91682088,22027.11303,315.1,78.5,8982.784789,0.130434783,79.91304348,1,Manual,SI,PAC 105,Algodon,SI,Manual,Hibrido,MASIVA,NINGUNO,Ar,BAJA,Cordoba,3.5
840,5/23/2014,10/7/2014,71000,1,68000,0,2,3,0.115,0,0.03,3,5,6,27,24.52,28.19945618,7.358912364,14549.47379,0.15,28.98298398,22519.29722,313.7,78.29310345,15161.47949,0.195121951,81.17073171,1,Mecanizado,SI,DK 234,Algodon,SI,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,NA,Cordoba,3.8
1770,8/28/2014,1/20/2015,62000,1,60000,0,3,2,0.092,0,0,2,5,6,70,24.85,28.9075,8.115,14356.96553,0.2,29.14328586,25748.99324,229.4,79.82758621,11954.70122,0.129032258,81.69759718,1,Mecanizado,SI,PAC 105,Algodon,SI,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,3.8
1771,8/29/2014,1/29/2015,72000,3,70000,0,2,3,0.092,0,0,2,6,7.2,70,24.62,28.25859009,7.277180171,14456.12138,0.15,28.9895248,22617.81615,333.3,78.43103448,10827.11407,0.206896552,80.62068966,1,Manual,NO,PAC 105,Algodon,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,4.5
1772,10/1/2014,2/6/2015,72000,3,64000,0,3,3,0.115,0,0.03,3,4.5,5.4,70,24.8641405,28.9241405,8.12,15658.81992,0.125,29.43791141,24106.05258,320.9,80.15517241,21190.84782,0.113207547,81.44576439,1,Manual,SI,Otro,Algodon,SI,Manual,Hibrido,ATERRONADA,LENTO,Ar,MEDIA,Cordoba,4.8
1773,9/19/2014,1/30/2015,70000,3,66000,0,2,3,0.1265,0,0,3,5,6,25,24.52,28.19945618,7.358912364,14549.47379,0.15,28.98298398,22519.29722,313.7,78.29310345,12711.67557,0.205882353,80.79411765,1,Manual,SI,PAC 105,Algodon,SI,Manual,Hibrido,MASIVA,NINGUNO,Ar,MEDIA,Cordoba,5
1799,8/27/2014,1/5/2015,73000,2,63000,0,2,3,0.115,0,0,3,4.5,5.4,26,24.5,29.11875,9.2375,14555.46067,0.15,29.36930254,22100.33386,202.4,79.66939469,15242.42198,0.1,83.48145343,1,Manual,SI,PAC 105,Algodon,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,4.8
1800,9/8/2014,1/28/2015,74000,1,62500,0,3,3,0.115,0,0.03,3,6,7.2,25,24.695,28.43133872,7.472677443,14710.19704,0.1,28.91682088,22027.11303,315.1,78.5,12917.64586,0.212121212,80.18181818,1,Mecanizado,SI,Otro,Algodon,SI,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,MEDIA,Cordoba,4.2
2010,5/27/2015,10/4/2015,75000,3,60000,0,2,3,0.115,0,0.03,3,5,6,38,24.62,28.25859009,7.277180171,14456.12138,0.15,28.9895248,22617.81615,333.3,78.43103448,13565.85986,0.162162162,80.81081081,1,Manual,SI,PAC 105,Frijol,SI,Manual,Hibrido,MASIVA,LENTO,FrL,MEDIA,Cordoba,3.8
2011,5/27/2015,9/28/2015,73000,1,66000,0,0,3,0.115,0,0,3,4.5,5.4,20,24.27,29.045,9.55,14512.48446,0.125,29.22312103,22458.07971,213.9,80.17078386,14723.72924,0.1,83.80524506,1,Mecanizado,SI,PIONEER 30F35,Maiz,SI,Mecanizada,Hibrido,ATERRONADA,LENTO,Ar,MEDIA,Cordoba,4.3
2015,5/27/2015,10/7/2015,68000,1,63000,0,2,3,0.115,0,0,3,5.5,6.6,70,24.52,28.19945618,7.358912364,14549.47379,0.15,28.98298398,22519.29722,313.7,78.29310345,13476.02415,0.194444444,80.69444444,1,Mecanizado,SI,Otro,Algodon,SI,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,5
2016,5/28/2015,10/7/2015,67000,1,64000,0,2,2,0.101,0.023,0,3,6,7.2,22,24.54108628,28.88345521,8.684737857,15068.66653,0.10631392,28.96593993,22376.9238,260.0841041,80.36454699,12950.07652,0.094518488,80.33215956,1,Mecanizado,SI,Otro,Maiz,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,4.8
2020,5/17/2015,9/19/2015,67000,1,64000,0,2,3,0.124,0.023,0,3,5,6,70,24.72,28.4231314,7.406262806,14665.91939,0.2,28.78042921,22555.54868,343.3,78.48275862,15064.77869,0.175,81.35,1,Mecanizado,NO,Otro,Algodon,SI,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,5
2021,5/20/2015,9/18/2015,68400,3,63000,0,1,1,0.092,0,0.06,2,5,6,33,24.2775,28.15472718,7.754454362,14523.06638,0.125,28.30975891,24354.5397,227.2,80.39655172,14825.27988,0.261904762,82.14285714,1,Manual,SI,Otro,Algodon,SI,Manual,Hibrido,MASIVA,NINGUNO,Ar,BAJA,Cordoba,6.5
2022,5/26/2015,9/28/2015,60000,3,59000,0,1,2,0.092,0,0,2,5,6,58,23.755,28.21125,8.9125,15136.26506,0.175,28.28793103,20449.96967,264.2,82.36206897,19215.00567,0.041666667,77.63034623,1,Manual,SI,Otro,Maiz,NO,Manual,Hibrido,MASIVA,NINGUNO,FA,BAJA,Cordoba,3.8
2029,5/20/2015,9/15/2015,65000,2,62000,0,1,2,0.092,0,0,2,5.5,6.6,46,23.81,28.23875,8.8575,15064.77869,0.175,28.30689655,20417.44607,264.2,82.34482759,22353.75237,0.035714286,77.37958249,1,Manual,SI,Otro,Maiz,NO,Manual,Hibrido,MASIVA,LENTO,FA,MEDIA,Cordoba,4
2031,5/26/2015,9/29/2015,60000,2,58000,0,3,1,0.069,0,0,2,6,7.2,70,23.9825,28.09875,8.2325,13824.91979,0.175,28.63065202,22862.63314,96.6,79.29752792,12553.90036,0,75.64516129,1,Manual,NO,Otro,Maiz,NO,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA,Cordoba,3.6
2032,5/21/2015,9/24/2015,80000,1,75000,0,2,2,0.1035,0,0,2,5,6,22,23.9775,28.11375,8.2725,13913.09904,0.175,28.49629669,21550.7022,133.8,81.18965517,14919.67382,0,74.86823942,1,Mecanizado,NO,Otro,Maiz,SI,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA,Cordoba,4.5
2035,5/26/2015,10/10/2015,65000,2,60000,0,2,2,0.1035,0,0,3,5.5,6.6,70,23.5925,28.03375,8.8825,15242.42198,0.2,28.13275862,20343.16297,332,82.93103448,14314.23806,0.052631579,81.02631579,1,Manual,SI,DK 234 YGRR,Maiz,SI,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA,Cordoba,5
2038,5/20/2015,10/8/2015,60000,1,58000,0,2,2,0.092,0,0,2,5.5,6.6,70,23.73,28.21125,8.9625,15212.09724,0.175,28.25,20444.34693,264.2,82.39655172,13556.18083,0.058823529,78.91931233,1,Mecanizado,NO,DK 234,Maiz,SI,Mecanizada,Hibrido,ATERRONADA,LENTO,Ar,MEDIA,Cordoba,4
2039,5/27/2015,10/5/2015,65000,3,62000,0,2,2,0.115,0,0,2,5,6,27,23.865,27.96375,8.1975,13990.94472,0.25,28.42155172,20918.1964,137.6,81.75862069,18307.73903,0,76.33903598,1,Manual,SI,DK7088,Maiz,NO,Manual,Hibrido,MASIVA,LENTO,Ar,MEDIA,Cordoba,4
2040,5/31/2015,9/29/2015,54545.45455,1,60000,0,3,1,0.046,0,0,1,6.5,7.8,32,24.07481542,28.54738478,8.945138723,14698.215,0.2,28.91484591,24332.57724,268.7,83.79066551,17704.4867,0.217391304,86.41467282,1,Mecanizado,SI,DK7088,Algodon,SI,Mecanizada,Hibrido,GRANULAR,NINGUNO,FrL,BAJA,Cordoba,3.2
